Time,Name,ID,CPUPerc,MemUsage,MemTotal,MemPerc,NetInput,NetOutput,BlockInput,BlockOutput,PIDs
1632098528,acmeair,c1688cddc438,92.98%,9.285MiB,2GiB,0.45%,8.8GB,9.96GB,401kB,4.1kB,23
1632098533,mongo,27794d582dbc,57.37%,662.1MiB,2GiB,32.33%,3.42GB,4.86GB,795kB,1.16GB,35
1632098533,acmeair,c1688cddc438,94.09%,9.289MiB,2GiB,0.45%,8.81GB,9.97GB,401kB,4.1kB,23
1632098538,mongo,27794d582dbc,57.74%,662.9MiB,2GiB,32.37%,3.43GB,4.87GB,795kB,1.16GB,35
1632098538,acmeair,c1688cddc438,94.25%,9.289MiB,2GiB,0.45%,8.82GB,9.99GB,401kB,4.1kB,23
1632098543,mongo,27794d582dbc,57.25%,663.9MiB,2GiB,32.42%,3.43GB,4.88GB,795kB,1.17GB,35
1632098543,acmeair,c1688cddc438,95.22%,9.297MiB,2GiB,0.45%,8.84GB,10GB,401kB,4.1kB,23
1632098548,mongo,27794d582dbc,57.99%,664.9MiB,2GiB,32.47%,3.44GB,4.89GB,795kB,1.17GB,35
1632098548,acmeair,c1688cddc438,95.73%,9.305MiB,2GiB,0.45%,8.85GB,10GB,401kB,4.1kB,23
1632098553,mongo,27794d582dbc,58.08%,665.8MiB,2GiB,32.51%,3.44GB,4.9GB,795kB,1.17GB,35
1632098553,acmeair,c1688cddc438,95.56%,9.305MiB,2GiB,0.45%,8.87GB,10GB,401kB,4.1kB,23
1632098558,mongo,27794d582dbc,57.43%,667.1MiB,2GiB,32.57%,3.45GB,4.9GB,795kB,1.17GB,35
1632098558,acmeair,c1688cddc438,93.54%,9.305MiB,2GiB,0.45%,8.88GB,10GB,401kB,4.1kB,23
1632098563,mongo,27794d582dbc,58.13%,668.4MiB,2GiB,32.64%,3.45GB,4.91GB,795kB,1.17GB,35
1632098563,acmeair,c1688cddc438,93.63%,9.297MiB,2GiB,0.45%,8.89GB,10.1GB,401kB,4.1kB,23
1632098568,mongo,27794d582dbc,58.42%,669.4MiB,2GiB,32.68%,3.46GB,4.92GB,795kB,1.17GB,35
1632098568,acmeair,c1688cddc438,94.58%,9.297MiB,2GiB,0.45%,8.91GB,10.1GB,401kB,4.1kB,23
1632098573,mongo,27794d582dbc,55.47%,670.2MiB,2GiB,32.73%,3.46GB,4.93GB,795kB,1.18GB,35
1632098573,acmeair,c1688cddc438,95.52%,9.297MiB,2GiB,0.45%,8.92GB,10.1GB,401kB,4.1kB,23
1632098578,mongo,27794d582dbc,57.22%,671MiB,2GiB,32.76%,3.47GB,4.93GB,795kB,1.18GB,35
1632098578,acmeair,c1688cddc438,95.08%,9.309MiB,2GiB,0.45%,8.94GB,10.1GB,401kB,4.1kB,23
1632098583,mongo,27794d582dbc,56.91%,671.6MiB,2GiB,32.79%,3.47GB,4.94GB,795kB,1.18GB,35
1632098583,acmeair,c1688cddc438,96.03%,9.309MiB,2GiB,0.45%,8.95GB,10.1GB,401kB,4.1kB,23
1632098588,mongo,27794d582dbc,56.59%,672.1MiB,2GiB,32.82%,3.48GB,4.95GB,795kB,1.18GB,35
1632098588,acmeair,c1688cddc438,95.16%,9.324MiB,2GiB,0.46%,8.96GB,10.1GB,401kB,4.1kB,23
1632098593,mongo,27794d582dbc,55.77%,673.1MiB,2GiB,32.87%,3.49GB,4.96GB,795kB,1.18GB,35
1632098593,acmeair,c1688cddc438,95.98%,9.309MiB,2GiB,0.45%,8.98GB,10.2GB,401kB,4.1kB,23
